Номер столбца	 Название столбца
1	Идентификатор1
2	Идентификатор2
3	Идентификатор3
4	Возарст
5	Пол
6	Есть Личный авто
7	Есть корпоративный авто
8	Нет авто
9	Количествово детей в возрасте до 14 лет
10	Беременность
11	Пларуете ли беременность в ближайший год
12	Пол 1ого ребенка (1 — мальчик/ 0 — девочка)
13	Пол 2ого ребенка (1 — мальчик/ 0 — девочка)
14	Пол 3ого ребенка (1 — мальчик/ 0 — девочка)
15	Пол 4ого ребенка (1 — мальчик/ 0 — девочка)
16	Пол 5ого ребенка (1 — мальчик/ 0 — девочка)
17	Возраст 1ого ребенка
18	Возраст 2ого ребенка
19	Возраст 3ого ребенка
20	Возраст 4ого ребенка
21	Возраст 5ого ребенка
22	Количество детей в возрасте до 14 проживающих в доме
23	Страна проживания
24	Разбивка городов по численности
25	Регион города
26	Область
27	Век основания города
28  Семейное положение
29	Образование
30	Сфера деятельности
31	Размер компании
32  B2B или B2C
33	Занимаемая должность
34	Доход на члена семьи
35	Личный доход
36	Материальное положение
37	Используете ли смартфон
38	Производитель мобильного телефона
39	Производитель мобильного телефона, второй вариант разбивки
10	Количествово контрактов с сотовыми операторами
41	Основной сотовый опреатор
42	Дополнительный сотовый опреатор
43	Основной и дополнительный сотовый оператор одинакового бренда
44	Интересы: Авто/мото
45	Интересы: Финансы/банки/страховка
46	Интересы: Домашние животные
47	Интересы: Красота/здоровье
48	Интересы: Медиа/Телевидение/Радио
49	Интересы: Путешествия/Туризм
10	Интересы: Электроника/Гаджеты
51	Интересы: Еда/Безалкогольные напитки
52	Интересы: Алкогольные напитки
53	Интересы: Политика
54	Интересы: Косметика
55	Интересы: Дети/детские продукты
56	Интересы: Недвижимость
57	Интересы: Телеком/ИТ
58	Интересы: Бизнес
59	В прошлом году: Посещали кинотеатры
60	В прошлом году: Покупали газеты
61	В прошлом году: Покупали фильмы
62	В прошлом году: Покупали музыку
63	В прошлом году: Играли в компьютерные игры
64	В прошлом году: Играли в видео-игры на игровой приставке
65	В прошлом году: Ездили в командировку в страны дальнего зарубежья
66	В прошлом году: Ездили в туристическую поездку в страны дальнего зарубежья
67	В прошлом году: Совершали авиаперелеты
68	В прошлом году: Брали кредит
69	В прошлом году: Открывали банковские вклады
70	В прошлом году: Посещали рестораны / бары
71	В прошлом году: Платили за покупки при помощи пластиковой банковской карты
72	В прошлом году: Переводили деньги при помощи почтовых или банковских переводов
73	В прошлом году: Занимались фитнесом / посещали спортзал, бассейн и т.п.
74	В прошлом году: Занимались активными видами спорта
75	В прошлом году: Занимались экстремальными видами спорта
76	В прошлом году: Делали покупки в Интернет-магазинах
77	В прошлом году: Скачивали платный Интернет-контент
78	В прошлом году: Пользовались системами электронных денег
79	В прошлом году: плачивали товары / услуги в Интернет
80	В прошлом году: Делали ремонт в квартире или доме
81	В прошлом году: Посещали ночные клубы / дискотеки
82	В прошлом году: Покупали недвижимость
83	В прошлом году: Покупали мелкую бытовую технику
84	В прошлом году: Покупали крупную бытовую технику
85	В прошлом году: Покупали электронику
86	В прошлом году: Посещали концерты
87	В прошлом году: Посещали театр / музей / выставку
88	В прошлом году: Посещали салон красоты
89	В прошлом году: Посещали спортивные мероприятия
90	В прошлом году: Покупали книги
91	В прошлом году: Покупали глянцевые журналы
92	В прошлом году: Ничего из перечисленного
93	В семье есть: Автомобиль личный
94	В семье есть: DVD проигрыватель
95	В семье есть: LCD проектор
96	В семье есть: LCD телевизор
97	В семье есть: Плазменный телевизор
98	В семье есть: Домашний кинотеатр
99	В семье есть: Цифровой фотоаппарат
100	В семье есть: Видеокамера
101	В семье есть: Настольный компьютер (Desktop)
102	В семье есть: Ноутбук (Laptop)
103	В семье есть: Принтер
104	В семье есть: Автомобиль служебный
105	В семье есть: Сканер
106	В семье есть: Домашняя беспроводная сеть / WiFi точка
107	В семье есть: Веб-камера
108	В семье есть: Кондиционер
109	В семье есть: Автоматическая стиральная машина
110	В семье есть: Посудомоечная машина
111	В семье есть: Хлебопечка
112	В семье есть: Мотоцикл
113	В семье есть: Загородный дом / дача
114	В семье есть: Кошка
115	В семье есть: Собака
116	В семье есть: Другое домашнее животное
117	В семье есть: Платное кабельное ТВ
118	В семье есть: Спутниковое ТВ (у Вас есть спутниковая тарелка)
119	В семье есть: Ничего из перечисленного
120	У меня лично есть: Смартфон или коммуникатор
121	У меня лично есть: Страховка жизни / страховка от несчастного случая
122	У меня лично есть: Полис КАСКО
123	У меня лично есть: Страховка недвижимости
124	У меня лично есть: Другие типы страховых полисов
125	У меня лично есть: Карманный компьютер / КПК
126	У меня лично есть: Портативный MP3-плеер
127	У меня лично есть: Электронная книга
128	У меня лично есть: Планшетный компьютер (например, iPad и т.п.)
129	У меня лично есть: Пластиковая банковская карта (дебетовая, т.е. без предоставления кредита по ней)
130	У меня лично есть: Кредитная пластиковая карта (карта, с помощью которой можно покупать товары или снимать деньги в КРЕДИТ)?
131	У меня лично есть: ДМС (добровольное медицинское страхование) – приобрел(а) самостоятельно?
132	У меня лично есть: ДМС (добровольное медицинское страхование) – предоставляет работодатель?
133	У меня лично есть: Ничего из перечисленного
134	Периодические траты: Арендная плата за квартиру (если Вы снимаете квартиру)
135	Периодические траты: Выплаты по ипотечному кредиту
136	Периодические траты: Выплаты по другим кредитам
137	Периодические траты: Оплата услуг домработницы
138	Периодические траты: Оплата услуг няни или сиделки
139	Периодические траты: Платный детский сад или школа
140	Периодические траты: Платное образование для детей старше 16 лет и взрослых (высшее учебное заведение, MBA)
141	Периодические траты: Ничего из перечисленного
